"","Preparedness","Preparedness","Preparedness","Preparedness","Preparedness","Preparedness","Preparedness","Preparedness"
"Country"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"
"Afghanistan","55","28","18","26","10","0","0","41"
"Albania","8","","","","","","",""
"Algeria","80","63","80","80","61","10","0","46"
"Andorra","8","8","8","8","8","40","10","12"
"Angola","90","","","0","25","","20",""
"Antigua and Barbuda","55","73","73","73","50","60","52","85"
"Argentina","55","82","100","100","100","100","52",""
"Armenia","100","","100","100","91","100","87","75"
"Australia","100","100","100","100","100","100","100","100"
"Austria","67","92","91","83","83","100","100","100"
"Azerbaijan","","","","75","75","","100","35"
"Bahamas","62","62","0","41","","","75","73"
"Bahrain","80","90","100","100","61","70","75","92"
"Bangladesh","45","70","63","63","73","50","55","39"
"Barbados","100","70","100","70","90","40","65","33"
"Belarus","","","","75","","","100",""
"Belgium","47","47","46","46","46","50","47","78"
"Belize","","","52","","26","10","20","7"
"Benin","27","18","","46","","30","35","78"
"Bhutan","100","92","45","61","35","","40","7"
"Bolivia (Plurinational State of)","80","73","53","60","41","60","55",""
"Bosnia and Herzegovina","63","55","45","25","","","30","33"
"Botswana","27","","0","","0","","","0"
"Brazil","100","100","100","100","90","","100","14"
"Brunei Darussalam","62","","100","90","70","70","30","39"
"Bulgaria","","","","81","","","55",""
"Burkina Faso","37","","","51","45","30","",""
"Burundi","0","80","80","80","50","40","10",""
"Cabo Verde","100","80","","","","","","75"
"Cambodia","35","20","20","0","20","20","22","0"
"Cameroon","55","37","","100","100","60","55","41"
"Canada","100","100","100","100","100","100","87","78"
"Central African Republic","45","0","","16","16","","0",""
"Chad","27","27","26","","8","","0",""
"Chile","90","42","61","61","100","70","100",""
"China","100","100","100","100","100","100","100","92"
"Colombia","100","100","100","33","33","50","42","53"
"Comoros","47","","","","25","","",""
"Congo","18","53","","","16","70","80","7"
"Cook Islands","25","70","80","","90","100","",""
"Costa Rica","82","72","71","71","71","60","40","53"
"C̫te d'Ivoire","73","43","","","50","","55",""
"Croatia","90","90","90","90","100","","77","100"
"Cuba","100","100","100","100","100","100","87",""
"Cyprus","100","100","","28","28","","12","21"
"Czechia","92","","75","75","75","90","100","100"
"Democratic People's Republic of Korea","62","73","73","56","56","60","55","19"
"Democratic Republic of the Congo","60","62","60","60","60","50","50","26"
"Denmark","100","100","100","100","100","","100","100"
"Djibouti","0","","","26","35","0","",""
"Dominica","60","60","60","60","62","50","65","46"
"Dominican Republic","55","82","81","81","81","70","","14"
"Ecuador","53","90","91","71","18","20","30","32"
"Egypt","100","100","","90","90","80","87","80"
"El Salvador","72","90","90","90","90","50","87",""
"Equatorial Guinea","8","","","","8","","0",""
"Eritrea","25","25","91","91","45","","32","33"
"Estonia","82","82","81","65","55","50","45","60"
"Eswatini","70","","53","61","0","60","30","26"
"Ethiopia","90","90","80","80","","100","100","32"
"Fiji","","","","100","100","40","","12"
"Finland","","","90","63","63","80","65","73"
"France","80","80","80","80","80","80","87","60"
"Gabon","25","25","","","","","0",""
"Gambia","25","","","0","63","","55","46"
"Georgia","83","80","91","100","100","100","100","100"
"Germany","100","","","100","","80","75","78"
"Ghana","52","52","","51","51","50","32","48"
"Greece","","","","","","","","92"
"Grenada","","33","33","","16","0","42",""
"Guatemala","","35","80","45","100","20","30",""
"Guinea","83","","63","63","","","0",""
"Guinea-Bissau","43","60","43","35","","","",""
"Guyana","100","","100","100","90","90","87","19"
"Haiti","73","73","26","20","20","","30",""
"Honduras","43","70","50","33","43","20","30","7"
"Hungary","92","92","100","100","100","60","100","67"
"Iceland","100","100","","90","","100","77",""
"India","100","100","","","90","60","55","25"
"Indonesia","100","100","100","100","91","80","100","71"
"Iran (Islamic Republic of)","82","","91","91","100","80","55","41"
"Iraq","90","","","100","100","70","80","35"
"Ireland","","","","","","80","55","28"
"Israel","","100","100","","","","","73"
"Italy","","73","","","","","67","67"
"Jamaica","","92","92","73","71","90","90","19"
"Japan","100","100","100","100","100","100","100","100"
"Jordan","55","55","","100","61","100","87","78"
"Kazakhstan","","","83","83","50","90","90",""
"Kenya","55","","","","53","70","42","14"
"Kiribati","","","","91","91","100","100","85"
"Kuwait","100","100","100","100","100","90","87","100"
"Kyrgyzstan","","","","","","","0",""
"Lao People's Democratic Republic","","100","100","46","35","10","42","73"
"Latvia","92","92","91","100","","100","100","60"
"Lebanon","100","","","90","81","20","20","28"
"Lesotho","53","80","","","36","","57","14"
"Liberia","90","","","","","","32","14"
"Libya","43","43","60","60","60","60","55","78"
"Lithuania","63","63","63","63","63","70","67","42"
"Luxembourg","90","90","90","90","90","50","35","39"
"Madagascar","55","","","41","41","","40",""
"Malawi","63","","","0","","","90",""
"Malaysia","","100","100","100","100","100","100","100"
"Maldives","53","53","53","61","70","40","22","67"
"Mali","17","","","","","","32",""
"Malta","50","50","","75","75","60","57",""
"Marshall Islands","70","","","","75","90","65","100"
"Mauritania","47","","16","16","","0","0","7"
"Mauritius","80","80","51","53","20","","",""
"Mexico","100","100","100","90","90","60","37","0"
"Micronesia (Federated States of)","100","100","100","70","26","80","65","58"
"Monaco","92","92","","100","70","60","70",""
"Mongolia","80","","70","61","80","50","75","92"
"Montenegro","65","65","65","65","65","70","",""
"Morocco","100","100","","100","100","100","100","75"
"Mozambique","80","","71","","43","30","40","7"
"Myanmar","35","90","90","100","100","100","87","66"
"Namibia","43","52","","65","","","",""
"Nauru","","","","26","","","","85"
"Nepal","20","80","80","70","66","40","65","14"
"Netherlands","90","90","90","80","80","70","75",""
"New Zealand","100","100","100","100","100","100","87","92"
"Nicaragua","100","100","100","90","90","80","75",""
"Niger","100","80","90","","80","","",""
"Nigeria","33","80","53","53","45","40","52",""
"Niue","","","","73","70","40","",""
"Norway","100","100","100","100","100","100","",""
"Oman","100","100","100","36","70","100","100","100"
"Pakistan","17","17","","16","16","10","","7"
"Palau","100","100","100","100","100","90","62","92"
"Panama","60","60","60","60","70","50","77",""
"Papua New Guinea","","","","60","41","50","20",""
"Paraguay","43","43","43","","53","10","75",""
"Peru","35","62","90","90","65","50","",""
"Philippines","90","90","90","90","91","100","75","66"
"Poland","82","82","","81","100","90","70","42"
"Portugal","100","100","100","100","","","100",""
"Qatar","100","","","100","100","100","75","92"
"Republic of Korea","100","","","100","100","100","","85"
"Republic of Moldova","","53","35","35","","40","52","51"
"Romania","82","82","82","81","73","","90","55"
"Russian Federation","","100","81","81","","","100","100"
"Rwanda","70","","26","26","8","","",""
"Saint Kitts and Nevis","92","","33","","36","40","",""
"Saint Lucia","","60","25","25","","50","0","39"
"Saint Vincent and the Grenadines","","28","53","53","36","10","",""
"Samoa","","","71","71","61","80","62",""
"San Marino","25","","","","","","","0"
"Sao Tome and Principe","8","8","8","8","8","0","0","7"
"Saudi Arabia","100","100","","100","100","100","100","100"
"Senegal","35","","","","","30","32",""
"Serbia","63","45","","36","","","0",""
"Seychelles","90","82","80","90","8","0","0","0"
"Sierra Leone","60","55","","50","33","","52","0"
"Singapore","100","100","100","100","100","100","100","100"
"Slovakia","100","100","100","100","100","90","80","42"
"Slovenia","75","75","75","66","62","40","47","62"
"Solomon Islands","43","","43","43","41","10","",""
"Somalia","0","","","0","16","","",""
"South Africa","100","","100","100","83","80","50","48"
"South Sudan","47","","90","90","90","","",""
"Spain","100","100","100","100","83","100","32","7"
"Sri Lanka","45","62","61","61","53","50","55","51"
"Sudan","70","","","81","65","60","12","46"
"Suriname","70","100","100","83","48","50","20",""
"Sweden","83","83","83","83","83","100","90","80"
"Switzerland","100","100","100","100","91","100","100","73"
"Syrian Arab Republic","37","","","16","16","20","30","19"
"Tajikistan","","","100","100","","90","100",""
"Thailand","100","100","","100","90","90","87","73"
"Republic of North Macedonia","90","90","80","80","61","","25",""
"Timor-Leste","80","80","80","80","38","20","22","26"
"Togo","53","","63","63","80","","12","0"
"Tonga","","","","","80","10","55","12"
"Trinidad and Tobago","100","80","71","71","71","50","","51"
"Tunisia","60","27","","16","8","40","32",""
"Turkey","80","","","61","","70","","32"
"Turkmenistan","","","","91","","","87",""
"Tuvalu","55","","100","","91","100","",""
"Uganda","82","","","","80","60","50","7"
"Ukraine","55","","100","","","","",""
"United Arab Emirates","100","100","100","100","100","50","42","12"
"United Kingdom of Great Britain and Northern Ireland","100","100","","No data","No data","No data","No data","No data"
"United Republic of Tanzania","82","","52","25","16","40","65",""
"United States of America","100","100","100","100","100","100","80","87"
"Uruguay","100","90","90","","81","","",""
"Uzbekistan","","","","91","","","100",""
"Vanuatu","83","","35","","81","0","","0"
"Venezuela (Bolivarian Republic of)","100","100","100","100","80","80","10",""
"Viet Nam","92","100","100","100","90","70","100","35"
"Yemen","10","","","18","18","40","",""
"Zambia","73","","","100","100","100","67",""
"Zimbabwe","53","80","","63","","","55",""
