Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.44444444,31.11111111,32.22222222,34.44444444,45.55555556,46.66666667,52.22222222,51.11111111,50,53.33333333,54.44444444,51.1111,51.1111,51.1111,50,
Angola,AGO,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.11111111,45.55555556,45.55555556,42.22222222,42.22222222,45.55555556,45.55555556,47.77777778,50,47.77777778,48.88888889,47.77776667,42.22216667,45.5555,52.22223333,
Albania,ALB,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.66666667,77.77777778,81.11111111,80,76.66666667,77.77777778,70,70,73.33333333,68.88888889,75.55555556,72.22223333,82.22223333,88.8889,88.8889,
Andorra,AND,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.22222222,88.88888889,88.88888889,85.55555556,86.66666667,87.77777778,86.66666667,85.55555556,85.55555556,76.66666667,83.33333333,95.55556667,88.8889,85.55556667,78.8889,
Armenia,ARM,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.77777778,84.44444444,86.66666667,90,92.22222222,93.33333333,92.22222222,92.22222222,86.66666667,88.88888889,87.77777778,93.33333333,92.22223333,91.1111,94.44443333,
American Samoa,ASM,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.66666667,36.66666667,36.66666667,46.66666667,44.44444444,42.22222222,46.66666667,51.11111111,55.55555556,58.88888889,57.7778,57.7778,54.44446667,50,
Australia,AUS,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.66666667,78.88888889,78.88888889,78.88888889,78.88888889,78.88888889,78.88888889,76.66666667,74.44444444,74.44444444,70,67.7778,75.55556667,82.22223333,81.1111,
Burundi,BDI,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.33333333,45.55555556,44.44444444,48.88888889,48.88888889,61.11111111,54.44444444,54.44444444,52.22222222,57.77777778,54.44444444,55.55556667,62.22223333,63.33336667,56.6667,
Belgium,BEL,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.33333333,56.66666667,54.44444444,57.77777778,56.66666667,56.66666667,55.55555556,58.88888889,57.77777778,66.66666667,65.55555556,66.66666667,73.33336667,73.33336667,75.5556,
Burkina Faso,BFA,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.77777778,66.66666667,66.66666667,64.44444444,63.33333333,60,62.22222222,65.55555556,71.11111111,70,71.11111111,67.7778,74.44446667,73.33336667,75.55556667,
Bangladesh,BGD,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,72.22222222,75.55555556,75.55555556,66.66666667,65.55555556,68.88888889,68.88888889,65.55555556,65.55555556,80,76.6667,74.44443333,70.00003333,72.22223333,
Bulgaria,BGR,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.66666667,86.66666667,93.33333333,93.33333333,94.44444444,91.11111111,91.11111111,91.11111111,91.11111111,85.55555556,84.44444444,84.44443333,84.44443333,87.77776667,86.66666667,
Bahrain,BHR,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,52.22222222,55.55555556,55.55555556,56.66666667,57.77777778,62.22222222,67.77777778,68.88888889,68.88888889,72.22222222,67.7778,72.22226667,65.55556667,68.8889,
Belarus,BLR,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,83.33333333,80,83.33333333,83.33333333,84.44444444,85.55555556,85.55555556,86.66666667,86.66666667,87.77777778,87.77776667,87.77776667,87.77776667,84.44443333,
Belize,BLZ,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.66666667,65.55555556,62.22222222,61.11111111,62.22222222,61.11111111,56.66666667,58.88888889,57.77777778,55.55555556,54.44446667,62.22223333,62.22223333,66.66666667,
Bermuda,BMU,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.88888889,70,67.77777778,67.77777778,66.66666667,70,66.66666667,70,67.77777778,72.22222222,76.66666667,78.8889,68.8889,67.77776667,70,
Brazil,BRA,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33333333,86.66666667,90,91.11111111,86.66666667,86.66666667,83.33333333,84.44444444,78.88888889,75.55555556,75.55555556,72.22223333,76.66666667,74.44443333,80,
Barbados,BRB,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.77777778,62.22222222,57.77777778,63.33333333,73.33333333,75.55555556,77.77777778,74.44444444,75.55555556,78.88888889,68.8889,68.8889,65.5556,60.00003333,
Botswana,BWA,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22222222,72.22222222,62.22222222,62.22222222,64.44444444,61.11111111,60,63.33333333,63.33333333,54.44444444,51.11111111,45.55553333,42.22216667,49.99996667,54.44443333,
Central African Republic,CAF,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,43.33333333,43.33333333,44.44444444,47.77777778,52.22222222,55.55555556,56.66666667,57.77777778,57.77777778,58.88888889,52.22226667,41.11113333,38.88886667,35.55553333,
Canada,CAN,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.11111111,91.11111111,91.11111111,94.44444444,92.22222222,92.22222222,94.44444444,94.44444444,94.44444444,95.55555556,95.55555556,95.55556667,95.55556667,93.33333333,90,
China,CHN,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.44444444,64.44444444,57.77777778,61.11111111,61.11111111,62.22222222,65.55555667,68.88888889,70,70,70,70,80,78.8889,77.77776667,
Cote d'Ivoire,CIV,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,80,75.55555556,71.11111111,63.33333333,61.11111111,58.88888889,67.77777778,63.33333333,56.66666667,46.66666667,58.8889,67.77776667,66.66666667,70.00003333,
Cameroon,CMR,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.11111111,50,63.33333333,63.33333333,66.66666667,63.33333333,66.66666667,64.44444444,60,56.66666667,56.66666667,55.55556667,68.8889,70.00003333,60.00003333,
"Congo, Dem. Rep.",COD,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.22222222,41.11111111,37.77777778,37.77777778,37.77777778,34.44444444,35.55555556,43.33333333,43.33333333,50,56.66666667,57.77776667,51.11113333,46.6667,52.22223333,
"Congo, Rep.",COG,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.22222222,44.44444444,51.11111111,52.22222222,48.88888889,54.44444444,54.44444444,50,50,52.22222222,47.77777778,50.00003333,50.00003333,48.8889,55.55556667,
Colombia,COL,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.66666667,78.88888889,75.55555556,85.55555556,82.22222222,85.55555556,84.44444444,84.44444444,84.44444444,81.11111111,81.11111111,84.44443333,88.8889,88.8889,82.22223333,
Comoros,COM,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.66666667,55.55555556,55.55555556,56.66666667,53.33333333,50,50,41.11111111,43.33333333,40,42.22216667,34.4444,29.99996667,35.5555,
Cabo Verde,CPV,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.88888889,73.33333333,74.44444444,73.33333333,70,73.33333333,70,68.88888889,65.55555556,68.88888889,66.66666667,68.88886667,67.77776667,71.1111,
Costa Rica,CRI,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.22222222,75.55555556,78.88888889,77.77777778,76.66666667,76.66666667,76.66666667,76.66666667,77.77777778,77.77777778,77.77777778,84.44443333,84.44443333,87.77776667,87.77776667,
Caribbean small states,CSS,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,74.44444333,75,76.11111167,73.33333333,69.44444333,72.77777667,76.11111,73.33333333,74.44444444,70.55555556,67.22223333,69.44443333,58.88888333,57.22221667,
Cuba,CUB,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,52.22222222,43.33333333,40,40,44.44444444,44.44444444,46.66666667,46.66666667,45.55555556,46.66666667,53.33336667,54.4445,60.00003333,
Dominica,DMA,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,60,53.33333333,53.33333333,53.33333333,46.66666667,50,53.33333333,50,55.55555556,52.22223333,57.77776667,57.77776667,59.44443333,
Denmark,DNK,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.11111111,70,64.44444444,66.66666667,67.77777778,67.77777778,67.77777778,67.77777778,67.77777778,75.55555556,78.88888889,78.8889,83.33333333,83.33333333,80,
Algeria,DZA,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.44444444,63.33333333,63.33333333,60,58.88888889,57.77777778,58.88888889,62.22222222,58.88888889,51.11111111,52.22222222,53.33336667,55.55556667,61.1111,56.66666667,
East Asia & Pacific (excluding high income),EAP,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.3030303,72.32323242,69.25925944,69.62962944,70.0925925,69.35185222,69.35185194,69.16666667,67.40740722,68.88888889,71.38888889,72.03703889,73.33333056,73.70369722,77.49999722,
Early-demographic dividend,EAR,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.50617289,69.23456793,68.66666667,68.71604948,68.93827141,68.47826065,68.41787457,68.35748797,67.19806775,66.71497585,68.42995169,69.00967246,67.34300217,67.41546304,69.17874783,
East Asia & Pacific,EAS,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.32748538,77.89461971,78.01163737,79.0642107,80.35076018,80.46771901,80.46771953,80.93567281,80.93567222,78.11111111,78.06111111,77.277785,77.77778333,78.888895,77.86111833,
Europe & Central Asia,ECS,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.22222222,86.66666667,86.66666667,86.66666667,84.44444444,84.44444444,82.22222222,82.22222222,71.11111111,70,70,72.22226667,71.11113333,68.8889,70,
"Egypt, Arab Rep.",EGY,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.77777778,87.77777778,91.11111111,87.77777778,86.66666667,87.77777778,85.55555556,88.88888889,86.66666667,90,90,91.11113333,87.77776667,83.33333333,90,
Euro area,EMU,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.77777778,40,42.22222222,37.77777778,37.77777778,32.22222222,32.22222222,32.22222222,32.22222222,31.11111111,31.11111111,27.7778,28.8889,28.88886667,31.1111,
Spain,ESP,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,EST,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.7778,50,54.44446667,
Ethiopia,ETH,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.66666667,67.77777778,64.44444444,67.77777778,78.88888889,80,80,73.33333333,65.55555556,66.66666667,61.11111111,68.8889,70.00003333,70.00003333,72.22223333,
European Union,EUU,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.24444453,47.82222213,48.41880346,47.73504269,47.60683744,47.69547333,49.36214012,51.11111086,52.56410244,51.72619048,51.92460317,53.49206905,52.50000595,52.97619048,54.54365595,
Finland,FIN,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.33333333,54.44444444,52.22222222,53.33333333,56.66666667,53.33333333,70,70,71.11111111,71.11111111,61.11113333,58.88886667,70,72.22223333,
France,FRA,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,FRO,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,31.11111111,31.11111111,34.44444444,34.44444444,27.77777778,27.77777778,37.77777778,37.77777778,36.66666667,35.55556667,32.22223333,32.22223333,35.55556667,
Gabon,GAB,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44444444,47.77777778,40,40,36.66666667,41.11111111,40,43.33333333,36.66666667,42.22222222,42.22222222,39.99996667,36.66663333,36.66663333,36.66663333,
United Kingdom,GBR,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GEO,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.66666667,85.55555556,85.55555556,85.55555556,88.88888889,88.88888889,95.55555556,95.55555556,94.44444444,92.22222222,82.22222222,88.8889,88.8889,86.6667,87.7778,
Ghana,GHA,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.11111111,53.33333333,55.55555556,55.55555556,58.88888889,58.88888889,65.55555556,62.22222222,58.88888889,62.22222222,62.22222222,65.55556667,68.8889,68.8889,71.11113333,
Gibraltar,GIB,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.66666667,62.22222222,57.77777778,61.11111111,55.55555556,54.44444444,57.77777778,58.88888889,57.77777778,52.22222222,52.22222222,53.33333333,55.55556667,52.22223333,58.8889,
"Gambia, The",GMB,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.33333333,61.11111111,64.44444444,62.22222222,62.22222222,62.22222222,67.77777778,64.44444444,67.77777778,70,66.66666667,65.55556667,64.44443333,63.33333333,68.8889,
Guinea-Bissau,GNB,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.77777778,33.33333333,41.11111111,34.44444444,31.11111111,33.33333333,45.55555556,48.88888889,51.11111111,50,43.33333333,44.44443333,42.2222,47.77776667,47.77776667,
Equatorial Guinea,GNQ,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.44444444,30,30,30,32.22222222,32.22222222,32.22222222,32.22222222,31.11111111,34.44444444,42.22223333,45.55556667,45.55556667,43.3333,
Greece,GRC,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,GRD,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.22222222,56.66666667,50,46.66666667,46.66666667,43.33333333,44.44444444,47.77777778,51.11111111,44.44444444,51.11113333,51.11113333,53.33333333,60,
Greenland,GRL,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,77.77777778,80,80,83.33333333,85.55555556,85.55555556,85.55555556,82.22222222,76.66666667,68.88888889,72.22223333,71.1111,78.8889,80.00003333,
Guam,GUM,Statistical Capacity score (Overall average),IQ.SCI.OVRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
